Mach, Beta, AOA, Lift, Drag, Moment,L/D,CL,CD
0.1,0,-2,2073.899107,1501.093746,-145.704973,1.381592,0.074003,0.053563
0.1,0,-1,5231.216033,1456.423814,-154.467564,3.591823,0.186665,0.051969
0.1,0,0,8369.087511,1497.229732,-146.276597,5.589715,0.298633,0.053426
0.1,0,1,11497.46482,1611.090731,-153.561659,7.136448,0.410263,0.057488
0.1,0,2,14622.25851,1785.315053,-158.695454,8.190296,0.521765,0.063705
0.1,0,3,17758.90125,2014.980541,-180.928097,8.813436,0.633689,0.0719
0.1,0,5,24073.84729,2659.148173,-233.617163,9.053218,0.859025,0.094886
0.1,0,7,30329.0137,3592.766216,-218.667135,8.441689,1.082228,0.1282
0.1,0,9,36478.66839,4863.4627,-12.526808,7.500555,1.301665,0.173543
0.1,0,11,42325.62401,6520.945474,496.617146,6.490719,1.510301,0.232686
0.1,1,-2,2068.137229,1491.917624,-905.208529,1.386227,0.073797,0.053236
0.1,1,-1,5217.180236,1446.262921,-989.276892,3.607353,0.186164,0.051607
0.1,1,0,8353.740636,1483.407075,-1065.331982,5.631455,0.298086,0.052932
0.1,1,1,11483.40828,1594.987679,-1151.534193,7.199685,0.409761,0.056914
0.1,1,2,14615.07322,1775.482623,-1230.189437,8.231606,0.521508,0.063354
0.1,1,3,17750.65318,2011.9442,-1334.464952,8.822637,0.633395,0.071792
0.1,1,5,24069.86755,2651.829326,-1552.919297,9.076703,0.858883,0.094625
0.1,1,7,30332.55354,3585.34213,-1713.301132,8.460156,1.082354,0.127935
0.1,1,9,36472.2303,4855.088684,-1693.217874,7.512166,1.301435,0.173244
0.1,1,11,42308.87137,6511.997984,-1386.686125,6.497065,1.509704,0.232367
0.1,2,-2,2061.590091,1476.106428,-1670.938141,1.396641,0.073564,0.052672
0.1,2,-1,5218.158372,1429.181516,-1831.262644,3.651152,0.186199,0.050997
0.1,2,0,8358.28951,1468.534995,-1990.183805,5.691583,0.298248,0.052402
0.1,2,1,11485.1309,1582.839698,-2152.05756,7.256029,0.409823,0.05648
0.1,2,2,14608.6536,1755.429181,-2307.581573,8.321984,0.521279,0.062639
0.1,2,3,17746.83201,1992.452,-2480.339341,8.907031,0.633259,0.071096
0.1,2,5,24061.67641,2631.388979,-2866.521055,9.144097,0.858591,0.093896
0.1,2,7,30322.82725,3569.092784,-3210.34404,8.495948,1.082007,0.127356
0.1,2,9,36463.46834,4835.383766,-3370.734237,7.540967,1.301123,0.172541
0.1,2,11,42287.64626,6485.227849,-3270.396309,6.520611,1.508946,0.231412
0.3,0,-2,19545.23131,13730.49027,-1275.122709,1.423491,0.077492,0.054438
0.3,0,-1,48351.66087,13338.56254,-1385.616362,3.624953,0.191703,0.052884
0.3,0,0,77051.43144,13705.31576,-1318.491268,5.622011,0.305491,0.054338
0.3,0,1,105607.5163,14726.39711,-1330.067981,7.171307,0.418709,0.058387
0.3,0,2,134142.8259,16351.14721,-1389.769744,8.203879,0.531845,0.064829
0.3,0,3,162756.7775,18509.43511,-1645.224057,8.793179,0.645293,0.073386
