Mach, Beta, AOA, Lift, Drag, Moment, L/D, CL, CD
0.100000, 0.000000, -2.000000, 1971.276734, 1520.951731, -157.277209, 1.296081, 0.070341, 0.054272
0.100000, 0.000000, -1.000000, 5126.022758, 1475.875738, -164.267411, 3.473208, 0.182911, 0.052664
0.100000, 0.000000, 0.000000, 8273.973148, 1510.438547, -163.032339, 5.477861, 0.295239, 0.053897
0.100000, 0.000000, 1.000000, 11419.078205, 1621.762544, -162.206391, 7.041153, 0.407466, 0.057869
0.100000, 0.000000, 2.000000, 14530.661576, 1785.278540, -181.454654, 8.139157, 0.518496, 0.063704
0.100000, 0.000000, 3.000000, 17668.578581, 2014.874377, -200.009483, 8.769072, 0.630466, 0.071897
0.100000, 0.000000, 5.000000, 24068.270055, 2650.049544, -235.945176, 9.082196, 0.858826, 0.094561
0.100000, 0.000000, 7.000000, 30323.771541, 3591.269567, -210.000348, 8.443747, 1.082040, 0.128147
0.100000, 0.000000, 9.000000, 36467.833808, 4872.374912, -30.651224, 7.484612, 1.301278, 0.173861
0.100000, 0.000000, 11.000000, 42321.654189, 6526.740980, 475.372614, 6.484347, 1.510160, 0.232893
0.300000, 0.000000, -2.000000, 19484.057362, 13762.506729, -1267.280462, 1.415735, 0.077250, 0.054565
0.300000, 0.000000, -1.000000, 48384.152898, 13328.067640, -1367.885526, 3.630245, 0.191832, 0.052843
0.300000, 0.000000, 0.000000, 77061.263165, 13648.823862, -1279.708417, 5.646000, 0.305530, 0.054114
0.300000, 0.000000, 1.000000, 105763.890392, 14711.728705, -1303.665600, 7.189087, 0.419329, 0.058329
0.300000, 0.000000, 2.000000, 134107.278335, 16351.141903, -1463.710425, 8.201707, 0.531704, 0.064828
0.300000, 0.000000, 3.000000, 162547.558356, 18538.752585, -1667.934854, 8.767988, 0.644463, 0.073502
0.300000, 0.000000, 5.000000, 220499.921185, 24437.222045, -2205.612849, 9.023117, 0.874231, 0.096888
0.300000, 0.000000, 7.000000, 277681.031443, 33075.262384, -2045.789775, 8.395429, 1.100941, 0.131136
0.300000, 0.000000, 9.000000, 333479.346706, 44801.550565, -366.627248, 7.443478, 1.322168, 0.177628
0.300000, 0.000000, 11.000000, 386721.524747, 59995.543736, 4075.979547, 6.445837, 1.533261, 0.237868
0.700000, 0.000000, -2.000000, 143826.175332, 86288.395539, -8044.929952, 1.666808, 0.104737, 0.062837
0.700000, 0.000000, -1.000000, 316508.657196, 83870.582897, -8329.548600, 3.773774, 0.230489, 0.061076
0.700000, 0.000000, 0.000000, 487176.146660, 86484.438855, -6935.738383, 5.633108, 0.354773, 0.062980
0.700000, 0.000000, 1.000000, 657624.392401, 93578.853829, -6031.425597, 7.027489, 0.478897, 0.068146
0.700000, 0.000000, 2.000000, 832964.718646, 105468.913510, -6132.848782, 7.897727, 0.606584, 0.076805
0.700000, 0.000000, 3.000000, 1006637.818851, 120613.309599, -7823.765313, 8.345993, 0.733056, 0.087833
0.700000, 0.000000, 5.000000, 1355987.611085, 161656.480145, -13702.140393, 8.388081, 0.987461, 0.117722
0.700000, 0.000000, 7.000000, 1708579.197721, 218279.593131, -17067.437284, 7.827480, 1.244226, 0.158956
0.700000, 0.000000, 9.000000, 2054795.110753, 296221.118562, -19471.388240, 6.936694, 1.496348, 0.215715
0.700000, 0.000000, 11.000000, 2377795.023204, 397416.184389, -13433.449905, 5.983136, 1.731564, 0.289407
0.900000, 0.000000, -2.000000, 526958.131925, 211131.084142, -12728.643432, 2.495881, 0.232141, 0.093010
0.900000, 0.000000, -1.000000, 958633.199358, 225021.179194, -13766.117888, 4.260191, 0.422306, 0.099129
0.900000, 0.000000, 0.000000, 1328632.754762, 246611.637717, -4090.548643, 5.387551, 0.585302, 0.108640
0.900000, 0.000000, 1.000000, 1643362.043016, 276768.924957, -5698.933343, 5.937668, 0.723950, 0.121925
0.900000, 0.000000, 2.000000, 1948626.839350, 317199.660038, -4116.904684, 6.143219, 0.858428, 0.139736
0.900000, 0.000000, 3.000000, 2252350.477869, 366174.785698, -3380.301489, 6.151026, 0.992227, 0.161311
0.900000, 0.000000, 5.000000, 2852332.768441, 489121.758966, -3092.146824, 5.831539, 1.256538, 0.215473
0.900000, 0.000000, 7.000000, 3451408.894322, 647246.090003, -1189.088713, 5.332452, 1.520448, 0.285131
0.900000, 0.000000, 9.000000, 4045506.311452, 843360.336539, 20657.813974, 4.796889, 1.782166, 0.371525
0.900000, 0.000000, 11.000000, 4017271.118361, 984277.689294, 27041.326556, 4.081441, 1.769728, 0.433604
0.950000, 0.000000, -2.000000, 235336.485269, 311562.972712, -10727.189142, 0.755342, 0.093047, 0.123185
0.950000, 0.000000, -1.000000, 643508.105662, 301503.621542, -11054.107362, 2.134330, 0.254429, 0.119208
0.950000, 0.000000, 0.000000, 1034025.228893, 304718.945514, -9342.638243, 3.393374, 0.408831, 0.120479
0.950000, 0.000000, 1.000000, 1403301.087553, 323788.764269, -6011.903571, 4.334002, 0.554835, 0.128019
0.950000, 0.000000, 2.000000, 1761331.915680, 358269.350487, -2062.295744, 4.916223, 0.696393, 0.141652
0.950000, 0.000000, 3.000000, 2109118.065284, 405908.741221, 2074.811832, 5.196040, 0.833900, 0.160488
0.950000, 0.000000, 5.000000, 2804186.864388, 531244.262685, 4835.041476, 5.278526, 1.108715, 0.210043
0.950000, 0.000000, 7.000000, 3498568.116410, 698491.124550, 4144.498151, 5.008751, 1.383259, 0.276168
0.950000, 0.000000, 9.000000, 4180942.634129, 909575.346712, 5678.537627, 4.596587, 1.653055, 0.359627
0.950000, 0.000000, 11.000000, 4838752.885416, 1163337.691682, 1696.982172, 4.159371, 1.913139, 0.459959
0.990000, 0.000000, -2.000000, -72259.647970, 400367.360079, -9603.514068, -0.180483, -0.026308, 0.145763
0.990000, 0.000000, -1.000000, 394589.766807, 385799.385095, -8921.804012, 1.022785, 0.143660, 0.140460
0.990000, 0.000000, 0.000000, 874708.759117, 384553.097014, -5381.383995, 2.274611, 0.318459, 0.140006
0.990000, 0.000000, 1.000000, 1355928.056510, 397753.829744, -4878.985715, 3.408963, 0.493658, 0.144812
0.990000, 0.000000, 2.000000, 1805000.213707, 428186.065153, -1594.182859, 4.215458, 0.657154, 0.155891
0.990000, 0.000000, 3.000000, 2213359.273929, 477194.429956, 2424.274212, 4.638276, 0.805827, 0.173734
0.990000, 0.000000, 5.000000, 3002784.686084, 618408.746539, 4159.362661, 4.855663, 1.093236, 0.225147
0.990000, 0.000000, 7.000000, 3775847.922738, 802895.740883, 3817.981837, 4.702787, 1.374689, 0.292314
0.990000, 0.000000, 9.000000, 4535154.704927, 1037778.377528, 5609.923289, 4.370061, 1.651133, 0.377828
0.990000, 0.000000, 11.000000, 5271171.307942, 1321244.413951, 359.091843, 3.989550, 1.919097, 0.481031
1.000000, 0.000000, -2.000000, -106677.070048, 422253.101117, -11791.310162, -0.252638, -0.038065, 0.150672
1.000000, 0.000000, -1.000000, 364383.820591, 408778.634945, -8451.835022, 0.891396, 0.130023, 0.145864
1.000000, 0.000000, 0.000000, 869394.287042, 406390.874132, -5325.517414, 2.139306, 0.310225, 0.145012
1.000000, 0.000000, 1.000000, 1358821.626516, 419971.178415, -4432.184587, 3.235512, 0.484867, 0.149858
1.000000, 0.000000, 2.000000, 1829905.617662, 450166.494860, -55.837722, 4.064953, 0.652964, 0.160633
1.000000, 0.000000, 3.000000, 2258202.467235, 497204.332875, 3012.969250, 4.541800, 0.805792, 0.177417
1.000000, 0.000000, 5.000000, 3057379.075640, 636161.606186, 4556.992185, 4.805979, 1.090962, 0.227001
1.000000, 0.000000, 7.000000, 3837110.316578, 821297.636596, 3349.394401, 4.672009, 1.369193, 0.293063
1.000000, 0.000000, 9.000000, 4602548.323547, 1064232.629471, 4555.792657, 4.324758, 1.642323, 0.379749
1.000000, 0.000000, 11.000000, 5353127.326536, 1355405.904996, 311.029462, 3.949464, 1.910152, 0.483648
1.050000, 0.000000, -2.000000, -181410.340429, 463992.982473, -5891.957410, -0.390976, -0.058714, 0.150173
1.050000, 0.000000, -1.000000, 311797.832316, 448993.509569, -3826.091028, 0.694437, 0.100915, 0.145319
1.050000, 0.000000, 0.000000, 825452.929122, 450858.009680, -2384.294512, 1.830849, 0.267162, 0.145922
1.050000, 0.000000, 1.000000, 1339435.540418, 466040.062661, -1746.911368, 2.874078, 0.433514, 0.150836
1.050000, 0.000000, 2.000000, 1859194.624591, 495506.483202, -917.719161, 3.752110, 0.601737, 0.160373
1.050000, 0.000000, 3.000000, 2356631.824970, 541664.439526, 2273.000266, 4.350723, 0.762735, 0.175312
1.050000, 0.000000, 5.000000, 3247470.999145, 686251.386364, 4676.021201, 4.732189, 1.051059, 0.222108
1.050000, 0.000000, 7.000000, 4103440.749171, 884649.856759, 3331.575798, 4.638491, 1.328097, 0.286321
1.050000, 0.000000, 9.000000, 4931769.091963, 1135791.692179, 2950.246191, 4.342142, 1.596189, 0.367604
1.050000, 0.000000, 11.000000, 5720366.000648, 1439303.059863, 2243.082317, 3.974400, 1.851422, 0.465837
1.300000, 0.000000, -2.000000, -823953.530595, 658919.770338, -10891.455909, -1.250461, -0.173971, 0.139125
1.300000, 0.000000, -1.000000, -195448.580436, 631869.757324, -12585.053580, -0.309318, -0.041267, 0.133414
1.300000, 0.000000, 0.000000, 438520.052724, 625032.510910, -7718.728470, 0.701596, 0.092590, 0.131970
1.300000, 0.000000, 1.000000, 1080150.239791, 639805.439735, -3936.077023, 1.688248, 0.228065, 0.135089
1.300000, 0.000000, 2.000000, 1730127.863463, 675572.384424, 2953.925289, 2.560981, 0.365302, 0.142641
1.300000, 0.000000, 3.000000, 2384744.428470, 732134.883500, 10953.540260, 3.257247, 0.503518, 0.154584
