Mach, Beta, AOA, Lift, Drag, Moment, L/D, CL, CD
0.100000, 0.000000, -2.000000, 2043.072108, 1311.466122, 168.794207, 1.557854, 0.072903, 0.046797
0.100000, 0.000000, -1.000000, 5208.960320, 1300.486764, 175.040924, 4.005393, 0.185871, 0.046405
0.100000, 0.000000, 0.000000, 8335.295656, 1350.226736, 148.183150, 6.173256, 0.297428, 0.048180
0.100000, 0.000000, 1.000000, 11492.807895, 1466.168924, 143.944077, 7.838666, 0.410097, 0.052317
0.100000, 0.000000, 2.000000, 14649.237344, 1634.083959, 140.718644, 8.964801, 0.522727, 0.058309
0.100000, 0.000000, 3.000000, 17817.782448, 1861.020607, 139.002055, 9.574199, 0.635790, 0.066407
0.100000, 0.000000, 5.000000, 24185.732946, 2505.959839, 147.366196, 9.651285, 0.863017, 0.089420
0.100000, 0.000000, 7.000000, 30517.976638, 3416.142775, 151.020961, 8.933461, 1.088970, 0.121898
0.100000, 0.000000, 9.000000, 36801.250257, 4619.012763, 118.832137, 7.967341, 1.313176, 0.164820
0.100000, 0.000000, 11.000000, 43064.864583, 6137.718811, 17.516045, 7.016428, 1.536680, 0.219012
0.300000, 0.000000, -2.000000, 19367.825064, 12011.823503, 1717.582783, 1.612397, 0.076789, 0.047624
0.300000, 0.000000, -1.000000, 48207.525343, 11909.688730, 1532.763297, 4.047757, 0.191132, 0.047219
0.300000, 0.000000, 0.000000, 76879.184183, 12420.783656, 1398.657502, 6.189560, 0.304808, 0.049246
0.300000, 0.000000, 1.000000, 105751.907123, 13492.582657, 1410.081964, 7.837781, 0.419282, 0.053495
0.300000, 0.000000, 2.000000, 134664.973272, 15068.828052, 1444.164718, 8.936659, 0.533915, 0.059744
0.300000, 0.000000, 3.000000, 163662.988457, 17186.475845, 1428.385300, 9.522778, 0.648886, 0.068140
0.300000, 0.000000, 5.000000, 221857.559829, 23210.088589, 1597.002408, 9.558669, 0.879614, 0.092023
0.300000, 0.000000, 7.000000, 279751.991907, 31612.554045, 1644.727671, 8.849395, 1.109152, 0.125336
0.300000, 0.000000, 9.000000, 337262.289702, 42637.915500, 1378.787271, 7.909915, 1.337167, 0.169049
0.300000, 0.000000, 11.000000, 394241.465471, 56716.931682, 512.044257, 6.951037, 1.563076, 0.224869
0.700000, 0.000000, -2.000000, 143356.658367, 79158.537931, 5971.540215, 1.811007, 0.104396, 0.057645
0.700000, 0.000000, -1.000000, 316679.697920, 79603.289733, 5917.539348, 3.978224, 0.230613, 0.057969
0.700000, 0.000000, 0.000000, 489750.308838, 83846.798525, 5583.741576, 5.841014, 0.356647, 0.061059
0.700000, 0.000000, 1.000000, 663728.910663, 91514.794163, 5662.896740, 7.252695, 0.483342, 0.066643
0.700000, 0.000000, 2.000000, 838367.301617, 102683.352658, 5630.978984, 8.164588, 0.610518, 0.074776
0.700000, 0.000000, 3.000000, 1013880.022993, 117309.390463, 5564.024856, 8.642787, 0.738330, 0.085427
0.700000, 0.000000, 5.000000, 1367814.915195, 157556.326778, 5486.765141, 8.681434, 0.996074, 0.114736
0.700000, 0.000000, 7.000000, 1722548.849529, 213696.121144, 5401.780419, 8.060740, 1.254399, 0.155618
0.700000, 0.000000, 9.000000, 2076359.254569, 290496.572472, 6746.788733, 7.147620, 1.512052, 0.211546
0.700000, 0.000000, 11.000000, 2410385.939712, 390656.199544, 7375.210779, 6.170095, 1.755298, 0.284485
0.900000, 0.000000, -2.000000, 542578.747734, 215095.783758, 13703.338987, 2.522498, 0.239022, 0.094756
0.900000, 0.000000, -1.000000, 909915.170047, 222065.609430, 14597.689561, 4.097506, 0.400845, 0.097827
0.900000, 0.000000, 0.000000, 1265258.774743, 238970.642333, 540.890572, 5.294620, 0.557384, 0.105274
0.900000, 0.000000, 1.000000, 1626894.566979, 273431.888632, -32732.418388, 5.949908, 0.716695, 0.120455
0.900000, 0.000000, 2.000000, 1946910.791793, 312782.874922, -13610.654547, 6.224480, 0.857672, 0.137790
0.900000, 0.000000, 3.000000, 2249611.247735, 363114.239598, -14500.164025, 6.195326, 0.991021, 0.159963
0.900000, 0.000000, 5.000000, 2857505.081308, 481165.675013, -11217.230857, 5.938713, 1.258816, 0.211968
0.900000, 0.000000, 7.000000, 3460684.045773, 643923.229774, -10554.226538, 5.374374, 1.524534, 0.283667
0.900000, 0.000000, 9.000000, 4050570.976911, 837706.464841, 3260.853950, 4.835311, 1.784397, 0.369035
0.900000, 0.000000, 11.000000, 4589445.010083, 1060630.258759, -62806.249978, 4.327092, 2.021787, 0.467239
0.950000, 0.000000, -2.000000, 247627.652167, 310645.947620, 546.704632, 0.797138, 0.097907, 0.122823
0.950000, 0.000000, -1.000000, 647638.337499, 300908.847019, -6344.603554, 2.152274, 0.256062, 0.118973
0.950000, 0.000000, 0.000000, 1040311.365500, 303716.474014, -8717.602367, 3.425271, 0.411317, 0.120083
0.950000, 0.000000, 1.000000, 1405292.142370, 322881.592999, -10325.901908, 4.352345, 0.555622, 0.127660
0.950000, 0.000000, 2.000000, 1768418.497000, 357429.015529, -8729.940288, 4.947608, 0.699195, 0.141320
0.950000, 0.000000, 3.000000, 2118221.871298, 404287.970555, -9022.943695, 5.239389, 0.837499, 0.159847
0.950000, 0.000000, 5.000000, 2812182.847650, 527331.424678, -7763.905788, 5.332857, 1.111877, 0.208496
0.950000, 0.000000, 7.000000, 3499355.604806, 689078.754205, -5459.130895, 5.078310, 1.383570, 0.272447
0.950000, 0.000000, 9.000000, 4168756.552091, 894617.119573, -734.555633, 4.659822, 1.648237, 0.353712
0.950000, 0.000000, 11.000000, 4840573.280356, 1149587.370640, 1318.629624, 4.210705, 1.913859, 0.454522
0.990000, 0.000000, -2.000000, -76730.560791, 383306.926294, 220.445489, -0.200180, -0.027936, 0.139552
0.990000, 0.000000, -1.000000, 413923.310746, 371897.760861, 1741.300928, 1.113003, 0.150699, 0.135398
0.990000, 0.000000, 0.000000, 895536.550816, 370322.955368, -1803.440961, 2.418258, 0.326042, 0.134825
0.990000, 0.000000, 1.000000, 1365623.163574, 383114.826727, -2624.950811, 3.564527, 0.497188, 0.139482
0.990000, 0.000000, 2.000000, 1802109.746791, 413066.304349, -4894.366444, 4.362761, 0.656102, 0.150387
0.990000, 0.000000, 3.000000, 2206497.531725, 460461.132474, -2342.265978, 4.791930, 0.803329, 0.167642
0.990000, 0.000000, 5.000000, 2990174.304281, 594965.162362, -1589.160071, 5.025797, 1.088645, 0.216611
0.990000, 0.000000, 7.000000, 3754137.502900, 775139.176836, 285.627799, 4.843179, 1.366785, 0.282208
0.990000, 0.000000, 9.000000, 4520819.755234, 1006745.151511, 237.118043, 4.490530, 1.645914, 0.366530
0.990000, 0.000000, 11.000000, 5273331.802689, 1294610.446558, -1954.667443, 4.073296, 1.919884, 0.471334
1.000000, 0.000000, -2.000000, -89962.974794, 406981.745269, 5744.667464, -0.221049, -0.032101, 0.145223
1.000000, 0.000000, -1.000000, 401025.129409, 391343.969206, 2393.664839, 1.024738, 0.143097, 0.139643
1.000000, 0.000000, 0.000000, 896373.307808, 389717.370657, 1611.024608, 2.300060, 0.319852, 0.139063
1.000000, 0.000000, 1.000000, 1379188.710632, 403147.454196, -2688.113549, 3.421053, 0.492135, 0.143855
1.000000, 0.000000, 2.000000, 1832255.498787, 432172.888638, -3306.691719, 4.239635, 0.653802, 0.154212
1.000000, 0.000000, 3.000000, 2255613.530500, 481480.767559, -2399.722037, 4.684743, 0.804869, 0.171806
1.000000, 0.000000, 5.000000, 3051349.155420, 618609.685343, -4225.850450, 4.932592, 1.088810, 0.220738
1.000000, 0.000000, 7.000000, 3837126.538550, 803710.243574, -2100.067316, 4.774266, 1.369198, 0.286787
1.000000, 0.000000, 9.000000, 4606524.299352, 1037144.251432, -3226.188804, 4.441546, 1.643742, 0.370083
1.000000, 0.000000, 11.000000, 5358275.836799, 1323644.300634, -2642.886050, 4.048124, 1.911989, 0.472315
