Mach, Beta, AOA, Lift, Drag, Moment, L/D, CL, CD
0.100000, 0.000000, -2.000000, 2044.243582, 1309.712931, 164.293708, 1.560833, 0.072945, 0.046734
0.100000, 0.000000, -1.000000, 5199.820605, 1296.824566, 171.246938, 4.009656, 0.185545, 0.046274
0.100000, 0.000000, 0.000000, 8348.872857, 1354.039157, 162.662773, 6.165902, 0.297912, 0.048316
0.100000, 0.000000, 1.000000, 11508.964852, 1465.916590, 167.190116, 7.851037, 0.410673, 0.052308
0.100000, 0.000000, 2.000000, 14674.077497, 1634.888784, 171.768377, 8.975581, 0.523614, 0.058338
0.100000, 0.000000, 3.000000, 17846.136509, 1862.209142, 171.152859, 9.583315, 0.636802, 0.066449
0.100000, 0.000000, 5.000000, 24216.241283, 2505.469281, 186.939556, 9.665352, 0.864106, 0.089402
0.100000, 0.000000, 7.000000, 30553.000291, 3422.662058, 185.878110, 8.926677, 1.090220, 0.122131
0.100000, 0.000000, 9.000000, 36857.911729, 4623.176538, 171.612092, 7.972421, 1.315198, 0.164968
0.100000, 0.000000, 11.000000, 43130.244454, 6149.566993, 73.090126, 7.013542, 1.539013, 0.219434
0.300000, 0.000000, -2.000000, 18773.855021, 11801.434989, 1040.266652, 1.590811, 0.074434, 0.046790
0.300000, 0.000000, -1.000000, 47577.353908, 11726.994634, 962.273286, 4.057080, 0.188633, 0.046495
0.300000, 0.000000, 0.000000, 76395.238758, 12248.712091, 942.579890, 6.237002, 0.302889, 0.048563
0.300000, 0.000000, 1.000000, 105400.478362, 13249.615016, 737.930988, 7.954984, 0.417888, 0.052532
0.300000, 0.000000, 2.000000, 134216.522511, 14810.624866, 741.976601, 9.062178, 0.532137, 0.058721
0.300000, 0.000000, 3.000000, 163168.959065, 16941.879136, 684.939174, 9.631102, 0.646927, 0.067171
0.300000, 0.000000, 5.000000, 221359.147164, 22943.647938, 978.920912, 9.647949, 0.877638, 0.090966
0.300000, 0.000000, 7.000000, 279456.553199, 31377.624831, 1080.195258, 8.906237, 1.107980, 0.124405
0.300000, 0.000000, 9.000000, 336929.448642, 42511.144159, 1102.466279, 7.925673, 1.335847, 0.168547
0.300000, 0.000000, 11.000000, 393931.143635, 56534.145560, 221.090097, 6.968022, 1.561846, 0.224145
0.700000, 0.000000, -2.000000, 139990.286784, 78278.737333, 4244.117038, 1.788356, 0.101944, 0.057004
0.700000, 0.000000, -1.000000, 313510.713985, 78496.361588, 4224.244237, 3.993952, 0.228306, 0.057163
0.700000, 0.000000, 0.000000, 484982.485424, 85028.058005, 3543.797485, 5.703794, 0.353175, 0.061919
0.700000, 0.000000, 1.000000, 659850.181932, 90496.166305, 3655.871090, 7.291471, 0.480518, 0.065901
0.700000, 0.000000, 2.000000, 833237.394570, 96741.196024, 3278.161886, 8.613057, 0.606782, 0.070449
0.700000, 0.000000, 3.000000, 1008225.391149, 118017.910552, 3398.634502, 8.542986, 0.734213, 0.085943
0.700000, 0.000000, 5.000000, 1357681.122072, 161326.042422, 5301.788269, 8.415759, 0.988694, 0.117481
0.700000, 0.000000, 7.000000, 1701304.242594, 217370.965521, 6298.472185, 7.826732, 1.238928, 0.158294
0.700000, 0.000000, 9.000000, 2069191.144745, 292272.565682, 5069.254446, 7.079663, 1.506832, 0.212840
0.700000, 0.000000, 11.000000, 2416641.592645, 384693.756285, 1705.397623, 6.281988, 1.759853, 0.280143
0.900000, 0.000000, -2.000000, 544988.560231, 206628.274791, 5576.476118, 2.637531, 0.240084, 0.091026
0.900000, 0.000000, -1.000000, 898783.168964, 210135.154016, 5154.246514, 4.277167, 0.395941, 0.092571
0.900000, 0.000000, 0.000000, 1255373.674531, 227826.831963, 1288.922291, 5.510210, 0.553029, 0.100365
0.900000, 0.000000, 1.000000, 1586104.844903, 257845.326278, -1419.509472, 6.151381, 0.698726, 0.113589
0.900000, 0.000000, 2.000000, 1914155.558546, 301525.031914, -5383.801473, 6.348248, 0.843243, 0.132831
0.900000, 0.000000, 3.000000, 2227104.918071, 350144.443705, -6829.824760, 6.360532, 0.981106, 0.154249
0.900000, 0.000000, 5.000000, 2839873.986112, 471907.724930, -7706.750834, 6.017859, 1.251049, 0.207889
0.900000, 0.000000, 7.000000, 3446590.869525, 628926.358643, -7970.329314, 5.480118, 1.518326, 0.277061
0.900000, 0.000000, 9.000000, 3979249.634464, 804526.607185, 80.519314, 4.946076, 1.752978, 0.354418
0.900000, 0.000000, 11.000000, 4537239.187515, 1032695.167423, -3626.942553, 4.393590, 1.998789, 0.454933
