Mach, Beta, AOA, Lift, Drag, Moment, L/D, CL, CD
0.100000, 0.000000, -2.000000, 2444.070633, 1212.360555, -59.356031, 2.015960, 0.087212, 0.043261
0.100000, 0.000000, -1.000000, 5599.492044, 1214.930367, -56.478620, 4.608900, 0.199806, 0.043352
0.100000, 0.000000, 0.000000, 8758.546238, 1274.686637, -59.815526, 6.871137, 0.312530, 0.045485
0.100000, 0.000000, 1.000000, 11921.422580, 1396.536450, -70.088526, 8.536421, 0.425391, 0.049832
0.100000, 0.000000, 2.000000, 15097.379960, 1570.754985, -83.509332, 9.611544, 0.538718, 0.056049
0.100000, 0.000000, 3.000000, 18283.025071, 1808.172073, -98.449351, 10.111330, 0.652392, 0.064521
0.100000, 0.000000, 5.000000, 24668.395899, 2457.967190, -113.536291, 10.036096, 0.880240, 0.087707
0.100000, 0.000000, 7.000000, 31013.950922, 3367.183240, -102.337783, 9.210651, 1.106668, 0.120151
0.100000, 0.000000, 9.000000, 37355.295227, 4565.377729, -88.021975, 8.182301, 1.332946, 0.162906
0.100000, 0.000000, 11.000000, 43599.708633, 6098.361258, -107.434561, 7.149414, 1.555765, 0.217607
0.300000, 0.000000, -2.000000, 23011.225522, 11096.985248, -477.765018, 2.073647, 0.091234, 0.043997
0.300000, 0.000000, -1.000000, 51832.023033, 11135.162298, -427.134045, 4.654806, 0.205502, 0.044148
0.300000, 0.000000, 0.000000, 80735.605283, 11735.002457, -453.851650, 6.879897, 0.320098, 0.046527
0.300000, 0.000000, 1.000000, 109570.157002, 12862.001541, -510.739438, 8.518904, 0.434420, 0.050995
0.300000, 0.000000, 2.000000, 138597.449404, 14544.600655, -683.647407, 9.529134, 0.549507, 0.057666
0.300000, 0.000000, 3.000000, 167731.246142, 16728.181801, -799.761217, 10.026867, 0.665015, 0.066323
0.300000, 0.000000, 5.000000, 226131.209219, 22714.242149, -931.523558, 9.955481, 0.896558, 0.090057
0.300000, 0.000000, 7.000000, 284211.721448, 31165.186122, -827.403261, 9.119526, 1.126834, 0.123563
0.300000, 0.000000, 9.000000, 341774.870993, 42206.826276, -732.073104, 8.097621, 1.355058, 0.167340
0.300000, 0.000000, 11.000000, 398972.477638, 56294.527246, -1040.017595, 7.087234, 1.581833, 0.223195
0.700000, 0.000000, -2.000000, 167405.143810, 73830.025345, -1171.527252, 2.267440, 0.121908, 0.053765
0.700000, 0.000000, -1.000000, 341106.426411, 74662.579337, -1005.103075, 4.568640, 0.248401, 0.054371
0.700000, 0.000000, 0.000000, 514434.482260, 80425.585655, -610.223616, 6.396403, 0.374623, 0.058568
0.700000, 0.000000, 1.000000, 688097.058912, 91049.089212, -894.315778, 7.557429, 0.501088, 0.066304
0.700000, 0.000000, 2.000000, 864283.286387, 100842.772365, -984.730212, 8.570602, 0.629391, 0.073436
0.700000, 0.000000, 3.000000, 1031405.519325, 125852.813114, -2276.611588, 8.195331, 0.751093, 0.091649
0.700000, 0.000000, 5.000000, 1396473.895061, 157990.212172, -2191.065708, 8.838990, 1.016944, 0.115052
0.700000, 0.000000, 7.000000, 1751723.091211, 217696.759398, -1599.247354, 8.046620, 1.275644, 0.158532
0.700000, 0.000000, 9.000000, 2109872.987657, 292405.089242, -1504.292044, 7.215582, 1.536457, 0.212936
0.700000, 0.000000, 11.000000, 2430031.521784, 397920.473942, -2378.046317, 6.106827, 1.769604, 0.289775
0.900000, 0.000000, -2.000000, 613162.184587, 213839.585279, -2335.748557, 2.867393, 0.270116, 0.094203
0.900000, 0.000000, -1.000000, 969476.414661, 217563.027991, -1574.923530, 4.456072, 0.427083, 0.095843
