Mach, Beta, AOA, Lift, Drag, Moment, L/D, CL, CD
0.1,0,-2,2440.895593,1210.87505,-56.890344,2.015811,0.087098,0.043208
0.1,0,-1,5601.283349,1208.761098,-52.528905,4.633904,0.19987,0.043132
0.1,0,0,8761.444514,1274.143155,-58.268447,6.876342,0.312634,0.045465
0.1,0,1,11924.50725,1393.17678,-68.793531,8.55922,0.425501,0.049713
0.1,0,2,15097.16645,1571.69325,-81.428809,9.60567,0.538711,0.056083
0.1,0,3,18288.15831,1805.959055,-97.976706,10.126563,0.652575,0.064442
0.1,0,5,24663.75583,2457.977222,-111.306302,10.034168,0.880075,0.087708
0.1,0,7,31010.01286,3366.906874,-101.18947,9.210238,1.106528,0.120141
0.1,0,9,37334.68037,4569.309188,-96.356811,8.170749,1.33221,0.163046
0.1,0,11,43611.05974,6093.423092,-106.357977,7.157071,1.55617,0.217431
0.3,0,-2,23228.94292,11003.20093,88.029753,2.111108,0.092097,0.043625
0.3,0,-1,52179.52687,11016.63352,47.71213,4.736431,0.20688,0.043678
0.3,0,0,81017.48821,11591.55161,89.913688,6.989357,0.321216,0.045958
0.3,0,1,109923.6134,12774.4493,87.409306,8.604959,0.435822,0.050648
0.3,0,2,138793.0071,14354.75772,-93.285241,9.668781,0.550282,0.056913
0.3,0,3,168012.7882,16607.48386,-176.006228,10.116691,0.666132,0.065845
0.3,0,5,226255.194,22668.78746,-507.206497,9.980913,0.897049,0.089876
0.3,0,7,284236.1775,31064.85858,-343.952176,9.149766,1.12693,0.123165
0.3,0,9,342019.7461,42074.36336,-208.8275,8.128935,1.356029,0.166815
0.3,0,11,398870.6166,56143.99074,-640.250059,7.104422,1.581429,0.222598
0.7,0,-2,166759.2685,77567.45834,-3005.109844,2.149861,0.121438,0.056486
0.7,0,-1,338001.6699,75621.17958,-2743.856563,4.469669,0.24614,0.055069
0.7,0,0,509675.9536,82551.39315,-2632.725019,6.174044,0.371158,0.060116
0.7,0,1,684878.4696,83735.01251,-2288.291008,8.179117,0.498744,0.060978
0.7,0,2,839469.1015,102050.8796,-2277.325264,8.225986,0.61132,0.074316
0.7,0,3,957670.8899,98183.20455,-2414.341908,9.753918,0.697398,0.071499
0.7,0,5,1350111.092,155164.0057,-851.719489,8.701187,0.983182,0.112994
0.7,0,7,1723234.011,213558.0643,-3139.224005,8.069159,1.254898,0.155518
0.7,0,9,2011258.393,274949.1827,-310.819894,7.315019,1.464644,0.200224
0.7,0,11,2388845.375,383343.5207,-3924.109505,6.231605,1.739611,0.279159
0.9,0,-2,608535.6382,204502.3746,-1989.636349,2.97569,0.268078,0.090089
0.9,0,-1,957162.4897,207082.595,-1656.352732,4.622129,0.421659,0.091226
0.9,0,0,1289762.923,222261.5926,-1204.792939,5.802905,0.568179,0.097913
0.9,0,1,1591320.221,247916.7387,-482.846422,6.418769,0.701024,0.109215
0.9,0,2,1909887.922,289528.5855,-834.126875,6.596544,0.841362,0.127546
0.9,0,3,2218938.166,339815.2477,177.200157,6.529837,0.977508,0.149699
0.9,0,5,2755167.725,444943.1132,-5241.058011,6.19218,1.213733,0.196011
0.9,0,7,3355026.344,597848.4537,-4874.066213,5.611834,1.477989,0.26337
0.9,0,9,3900905.628,775163.4405,-8449.310523,5.032365,1.718465,0.341483
0.9,0,11,4454174.057,995534.4887,-1526.779108,4.474153,1.962196,0.438563
0.95,0,-2,266620.6416,290853.51,-5656.306763,0.916684,0.105416,0.114997
0.95,0,-1,672474.6897,281100.058,-5184.590883,2.392297,0.265882,0.111141
0.95,0,0,1072395.519,285950.5297,-4639.581273,3.750283,0.424002,0.113059
0.95,0,1,1473743.009,303410.4426,-6573.179324,4.857259,0.582686,0.119962
0.95,0,2,1852249.063,336574.3184,-7673.354083,5.503239,0.732339,0.133074
0.95,0,3,2202436.701,384912.6354,-8711.552348,5.721913,0.870796,0.152186
0.95,0,5,2888058.542,511631.9534,-11502.21747,5.644797,1.141876,0.202288
0.95,0,7,3548184.482,675320.1332,-14952.07952,5.254078,1.402876,0.267007
0.95,0,9,4224370.903,882346.5328,-11879.07715,4.787655,1.670226,0.348861
0.95,0,11,4878792.142,1132449.997,-8537.693085,4.308174,1.92897,0.447746
0.99,0,-2,-16579.92961,373584.1464,3247.816212,-0.044381,-0.006036,0.136012
