Mach, Beta, AOA, Lift, Drag, Moment, L/D, CL, CD
0.3,0,-6,-93850.64749,19765.90646,-520.333867,-4.748107,-0.372096,0.078367
0.3,0,-3,-7341.596136,15153.36418,-668.558092,-0.484486,-0.029108,0.06008
0.3,0,-2,21256.83526,14622.85663,-534.795076,1.453672,0.084278,0.057976
0.3,0,-1.5,35510.37261,14547.70875,-551.974144,2.44096,0.14079,0.057678
0.3,0,-1,49738.77906,14689.09039,-553.450668,3.386103,0.197203,0.058239
0.3,0,-0.7,58181.27314,14884.76751,-549.233354,3.908779,0.230675,0.059015
0.3,0,-0.5,63950.94586,14881.17257,-566.763592,4.29744,0.253551,0.059
0.3,0,-0.4,66856.91774,14902.90789,-538.76417,4.486166,0.265072,0.059087
0.3,0,-0.3,69738.93824,15161.90243,-530.711192,4.599617,0.276499,0.060113
0.3,0,-0.2,72540.36999,15183.83208,-516.847912,4.777474,0.287606,0.0602
0.3,0,-0.1,75458.39481,15143.93038,-531.479268,4.982748,0.299175,0.060042
0.3,0,0,78248.2569,15104.9125,-554.576717,5.180318,0.310236,0.059887
0.3,0,0.1,81120.66563,15375.5118,-596.056677,5.275965,0.321625,0.06096
0.3,0,0.2,83830.53098,15251.69108,-557.478233,5.496474,0.332369,0.060469
0.3,0,0.3,86788.26666,15491.84434,-572.084339,5.602191,0.344095,0.061422
0.3,0,0.4,89666.37207,15620.97287,-585.246637,5.740127,0.355506,0.061934
0.3,0,0.5,92554.1527,15790.33942,-510.617363,5.861442,0.366956,0.062605
0.3,0,0.7,98369.65251,16006.66711,-565.588501,6.145542,0.390013,0.063463
0.3,0,1,106961.6708,16459.98838,-537.74148,6.498283,0.424078,0.06526
0.3,0,1.5,121254.7743,16876.65235,-577.904747,7.184765,0.480747,0.066912
0.3,0,2,135781.395,18008.58123,-472.684028,7.539816,0.538342,0.0714
0.3,0,3,164852.6468,20350.27612,-462.186378,8.100757,0.653602,0.080684
0.3,0,6,251569.7614,30528.10339,-518.556832,8.240596,0.997416,0.121037
0.3,0,9,339891.5756,44899.98083,-706.117192,7.569972,1.347591,0.178018
0.3,0,12,428264.843,65302.82681,108.295587,6.558136,1.697971,0.258911
